================================================================
LOSO Sonnet evaluation — starting 2026-05-15 00:28:58
================================================================
PID: 95627
Working dir: /Users/javencao/Library/CloudStorage/GoogleDrive-jacao@ucsd.edu/My Drive/知识库/MyBrain/projects/ece284-llm-ppg
Python: Python 3.14.0
Est cost: ~$6.48, est time: ~5.9 hours
Output: per-subject results/llm_lambda_loso_sonnet_s{1..12}.json
================================================================


[00:28:58] === Subj 1 START ===
  s1 w0: truth=74, pred=75.0, λ=0.20 err=0.6607929515418505
  s1 w1: truth=76, pred=75.0, λ=0.30 err=1.3574660633484115
  s1 w2: truth=77, pred=75.0, λ=0.20 err=2.142857142857139
  s1 w3: truth=75, pred=75.0, λ=0.20 err=0.3318584070796504
  s1 w4: truth=73, pred=75.0, λ=0.20 err=2.4193548387096797
  s1 w5: truth=72, pred=67.5, λ=0.30 err=4.18458781362007
  s1 w6: truth=73, pred=75.0, λ=0.30 err=2.1058315334773283
  s1 w7: truth=73, pred=75.0, λ=0.30 err=1.5505984766050034
  s1 w8: truth=75, pred=75.0, λ=0.20 err=0.3348214285714164
  s1 w9: truth=77, pred=75.0, λ=0.20 err=1.8442622950819612
  s1 w10: truth=80, pred=82.5, λ=0.20 err=2.9009433962264097
  s1 w11: truth=79, pred=82.5, λ=0.20 err=3.3860759493670827
  s1 w12: truth=75, pred=67.5, λ=0.30 err=7.003311258278131
  s1 w13: truth=71, pred=67.5, λ=0.30 err=3.338252656434477
  s1 w14: truth=70, pred=67.5, λ=0.30 err=2.087628865979383
  s1 w15: truth=72, pred=67.5, λ=0.30 err=4.442446043165475
  s1 w16: truth=77, pred=142.5, λ=0.80 err=65.18041237113403
  s1 w17: truth=80, pred=82.5, λ=0.30 err=2.200214132762312
  s1 w18: truth=83, pred=82.5, λ=1.00 err=0.37292817679558254
  s1 w19: truth=84, pred=90.0, λ=0.30 err=6.481069042316264
  s1 w20: truth=85, pred=97.5, λ=0.40 err=12.849887133182847
  s1 w21: truth=88, pred=97.5, λ=0.40 err=9.264705882352942
  s1 w22: truth=91, pred=97.5, λ=2.20 err=6.540793825799341
  s1 w23: truth=93, pred=105.0, λ=1.80 err=12.120743034055721
  s1 w24: truth=95, pred=105.0, λ=2.20 err=10.263157894736835
  s1 w25: truth=97, pred=97.5, λ=2.20 err=0.21226415094339757
  s1 w26: truth=100, pred=97.5, λ=1.20 err=2.167774086378728
  s1 w27: truth=102, pred=97.5, λ=0.90 err=4.080135440180584
  s1 w28: truth=103, pred=45.0, λ=0.50 err=57.84810126582279
  s1 w29: truth=103, pred=105.0, λ=1.20 err=1.5517241379310178
  s1 w30: truth=103, pred=105.0, λ=1.00 err=1.8253968253968225
  s1 w31: truth=103, pred=105.0, λ=1.80 err=2.043294614572332
  s1 w32: truth=103, pred=105.0, λ=1.80 err=1.7161016949152383
  s1 w33: truth=104, pred=105.0, λ=2.20 err=0.9445037353255259
  s1 w34: truth=106, pred=105.0, λ=1.20 err=1.2091503267973849
  s1 w35: truth=109, pred=105.0, λ=2.20 err=3.583247156153064
  s1 w36: truth=111, pred=112.5, λ=2.20 err=1.8303064699205436
  s1 w37: truth=112, pred=112.5, λ=1.80 err=0.9165781083953135
  s1 w38: truth=112, pred=112.5, λ=1.80 err=0.20053475935829113
  s1 w39: truth=113, pred=112.5, λ=1.20 err=0.28195488721803486
  s1 w40: truth=114, pred=112.5, λ=0.70 err=1.1363636363636402
  s1 w41: truth=115, pred=112.5, λ=1.20 err=2.0038167938931224
  s1 w42: truth=115, pred=112.5, λ=1.60 err=2.6315789473684106
  s1 w43: truth=116, pred=112.5, λ=2.20 err=3.522099447513824
  s1 w44: truth=117, pred=75.0, λ=2.20 err=42.056856187290975
  s1 w45: truth=119, pred=67.5, λ=2.20 err=51.04583772391992
  s1 w46: truth=120, pred=30.0, λ=2.20 err=90.1923076923077
  s1 w47: truth=122, pred=120.0, λ=1.00 err=1.885157096424706
  s1 w48: truth=124, pred=120.0, λ=1.00 err=3.9669421487603387
  s1 w49: truth=126, pred=37.5, λ=2.20 err=88.28616352201259
  s1 w50: truth=128, pred=75.0, λ=2.20 err=53.068303094983975
  s1 w51: truth=131, pred=37.5, λ=1.00 err=93.36150490730643
  s1 w52: truth=133, pred=30.0, λ=1.00 err=103.18534961154273
  s1 w53: truth=135, pred=37.5, λ=1.00 err=97.9941551540914
  s1 w54: truth=137, pred=142.5, λ=1.00 err=5.304878048780495
  s1 w55: truth=139, pred=142.5, λ=1.80 err=3.6111111111111143
  s1 w56: truth=141, pred=142.5, λ=2.20 err=1.9266813671444538
  s1 w57: truth=142, pred=142.5, λ=2.20 err=0.8420776495277948
  s1 w58: truth=143, pred=142.5, λ=1.80 err=0.2061310782241037
  s1 w59: truth=143, pred=142.5, λ=0.80 err=0.5084745762711975
  s1 w60: truth=143, pred=142.5, λ=0.90 err=0.8121019108280336
  s1 w61: truth=143, pred=142.5, λ=1.60 err=0.9643995749203214
  s1 w62: truth=144, pred=142.5, λ=1.80 err=1.2699680511182123
  s1 w63: truth=144, pred=142.5, λ=1.80 err=1.7307692307692264
  s1 w64: truth=145, pred=142.5, λ=2.20 err=2.317073170731703
  s1 w65: truth=146, pred=142.5, λ=2.20 err=3.2055214723926326
  s1 w66: truth=147, pred=150.0, λ=2.20 err=3.0927835051546424
  s1 w67: truth=148, pred=150.0, λ=2.20 err=1.716961498439133
